Algorithm,Fraction,Samples,Accuracy,Time (s)
LogisticRegression,  5.0%,2500,0.2672,39.622445821762085
LogisticRegression, 10.0%,5000,0.2729,161.80335092544556
LogisticRegression, 25.0%,12500,0.3044,294.8010230064392
LogisticRegression, 50.0%,25000,0.3327,492.34727573394775
LogisticRegression, 75.0%,37500,0.3528,713.7411231994629
LogisticRegression,100.0%,50000,0.3722,932.7998967170715
RandomForest,  5.0%,2500,0.381,9.126721382141113
RandomForest, 10.0%,5000,0.4059,18.025586366653442
RandomForest, 25.0%,12500,0.4331,49.689117193222046
RandomForest, 50.0%,25000,0.4522,104.2652599811554
RandomForest, 75.0%,37500,0.4589,161.26298904418945
RandomForest,100.0%,50000,0.4658,219.9370346069336
kNN,  5.0%,2500,0.2606,0.0037147998809814453
kNN, 10.0%,5000,0.2797,0.006506204605102539
kNN, 25.0%,12500,0.3009,0.014894723892211914
kNN, 50.0%,25000,0.3153,0.031145334243774414
kNN, 75.0%,37500,0.3295,0.04213976860046387
kNN,100.0%,50000,0.339,0.057299137115478516
CNN,  5.0%,2500,0.5308,23.782553672790527
CNN, 10.0%,5000,0.5923,29.571420669555664
CNN, 25.0%,12500,0.6621,53.232598066329956
CNN, 50.0%,25000,0.7187,92.01146459579468
CNN, 75.0%,37500,0.7425,130.66239166259766
CNN,100.0%,50000,0.771,169.73145246505737
